"CÓDIGO DE LA SERIE",DTCCBCEUSDEUR.B,DTCCBCEJPYEUR.B,DTCCBCECHFEUR.B,DTCCBCEGBPEUR.B,DTCCBCEBGNEUR.B,DTCCBCECZKEUR.B,DTCCBCEDKKEUR.B,DTCCBCEHUFEUR.B,DTCCFMIXDREUR.B,DTCCBCEPLNEUR.B,DTCCBCERONEUR.B,DTCCBCESEKEUR.B,DTCCBCEISKEUR.B,DTCCBCENOKEUR.B,DTCCBCEHRKEUR.B,DTCCBCERUBEUR.B,DTCCBCETRYEUR.B,DTCCBCEAUDEUR.B,DTCCBCEBRLEUR.B,DTCCBCECADEUR.B,DTCCBCECNYEUR.B,DTCCBCEHKDEUR.B,DTCCBCEIDREUR.B,DTCCBCEILSEUR.B,DTCCBCEINREUR.B,DTCCBCEKRWEUR.B,DTCCBCEMXNEUR.B,DTCCBCEMYREUR.B,DTCCBCENZDEUR.B,DTCCBCEPHPEUR.B,DTCCBCESGDEUR.B,DTCCBCETHBEUR.B,DTCCBCEZAREUR.B
"NÚMERO SECUENCIAL",573234,573220,573204,573214,710590,573208,573210,573218,573236,573228,1177974,573230,710585,573224,1161056,1161044,1148988,573200,1610010,573202,1161054,710586,1161060,3707252,1666106,710595,1610012,1161036,573226,1161040,710587,1161048,710594
"ALIAS DE LA SERIE","TC_1_1.1","TC_1_1.2","TC_1_1.3","TC_1_1.4","TC_1_1.5","TC_1_1.6","TC_1_1.7","TC_1_1.8","TC_1_1.9","TC_1_1.10","TC_1_1.11","TC_1_1.12","TC_1_1.13","TC_1_1.14","TC_1_1.15","TC_1_1.16","TC_1_1.17","TC_1_1.18","TC_1_1.19","TC_1_1.20","TC_1_1.21","TC_1_1.22","TC_1_1.23","TC_1_1.24","TC_1_1.25","TC_1_1.26","TC_1_1.27","TC_1_1.28","TC_1_1.29","TC_1_1.30","TC_1_1.31","TC_1_1.32","TC_1_1.33"
"DESCRIPCIÓN DE LA SERIE","Tipo de cambio. Dólares estadounidenses por euro (USD/EUR). Datos diarios","Tipo de cambio. Yenes japoneses por euro (JPY/EUR). Datos diarios","Tipo de cambio. Francos suizos por euro (CHF/EUR). Datos diarios","Tipo de cambio. Libras esterlinas por euro (GBP/EUR).Datos diarios","Tipo de cambio. Leva búlgaros por euro (BGN/EUR). Datos diarios","Tipo de cambio. Coronas checas por euro (CZK/EUR). Datos diarios","Tipo de cambio. Coronas danesas por euro (DKK/EUR). Datos diarios","Tipo de cambio. Forintos húngaros por euro (HUF/EUR). Datos diarios","Tipo de cambio. Derechos especiales de giro (DEG) por euro (XDR/EUR). Datos diarios","Tipo de cambio. Zlotys polacos por euro (PLN/EUR). Datos diarios","Tipo de cambio. Lei rumanos antiguos por euro (RON/EUR, ROL/EUR). Datos diarios","Tipo de cambio. Coronas suecas por euro (SEK/EUR). Datos diarios","Tipo de cambio. Coronas islandesas por euro (ISK/EUR). Datos diarios","Tipo de cambio. Coronas noruegas por euro (NOK/EUR). Datos diarios","Tipo de cambio. Kunas croatas por euro (HRK/EUR). Datos diarios","Tipo de cambio. Rublos rusos por euro (RUB/EUR). Datos diarios [discontinuada]","Tipo de cambio. Liras turcas por euro (TRL/EUR, TRY/EUR). Datos diarios","Tipo de cambio. Dólares australianos por euro (AUD/EUR). Datos diarios","Tipo de cambio. Reales brasileños por euro (BRL/EUR). Datos diarios","Tipo de cambio. Dólares canadienses por euro (CAD/EUR).  Datos diarios","Tipo de cambio. Yuans chinos por euro (CNY/EUR). Datos diarios","Tipo de cambio. Dólares de Hong Kong por euro (HKD/EUR). Datos diarios","Tipo de cambio. Rupias indonesias por euro (IDR/EUR). Datos diarios","Tipo de cambio. Nuevos Sheqalim israelíes por euro (ILS/EUR). Datos diarios","Tipo de cambio. Rupia india por euro (INR/EUR). Datos diarios","Tipo de cambio. Wons surcoreanos por euro (KRW/EUR). Datos diarios","Tipo de cambio. Pesos mexicanos por euro (MXN/EUR). Datos diarios","Tipo de cambio. Ringgits de Malasia por euro (MYR/EUR). Datos diarios","Tipo de cambio. Dólares neozelandeses por euro (NZD/EUR). Datos diarios","Tipo de cambio. Pesos filipinos por euro (PHP/EUR). Datos diarios","Tipo de cambio. Dólares de Singapur por euro (SGD/EUR). Datos diarios","Tipo de cambio. Bahts de Tailandia por euro (THB/EUR). Datos diarios","Tipo de cambio. Rands sudafricanos por euro (ZAR/EUR). Datos diarios"
"DESCRIPCIÓN DE LAS UNIDADES","Dólares de Estados Unidos por Euro","Yenes japoneses por Euro","Francos suizos por Euro","Libras esterlinas por Euro","Leva búlgaros por Euro","Coronas checas por Euro","Coronas danesas por Euro","Forints húngaros por Euro","SDR (Derechos especiales de giro) por Euro","Zlotys polacos por Euro","Lei rumanos por Euro","Coronas suecas por Euro","Coronas islandesas por Euro","Coronas noruegas por Euro","Kunas por Euro","Rublos rusos por Euro","Liras turcas por Euro","Dólares australianos por Euro","Reales brasileños por Euro","Dólares canadienses por Euro","Yuans por Euro","Dólares de Hong Kong por Euro","Rupias indonesias por Euro","nuevos sheqalim israelíes por euro","Rupias indias por euro","Wons surcoreanos por Euro","Pesos mejicanos por Euro","Ringgits malayo por Euro","Dólares neozelandeses por Euro","Pesos filipinos por Euro","Dólares de Singapur por Euro","Bahts de tailandia por Euro","Rands sudafricanos por Euro"
"FRECUENCIA","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE","LABORABLE"
"04 ENE 1999",1.1789,133.7300,1.6168,0.71110,"_",35.1070,7.4501,251.4800,0.8356,4.0712,13111.0000,9.4696,81.4800,8.8550,"_",25.2875,372274.0000,1.9100,"_",1.8004,"_",9.1332,9433.6100,"_","_",1398.5900,11.6446,4.4798,2.2229,45.5100,1.9554,42.6799,6.9358
"05 ENE 1999",1.1790,130.9600,1.6123,0.71220,"_",34.9170,7.4495,250.8000,0.8325,4.0245,13168.0000,9.4025,81.5300,8.7745,"_",26.5876,372816.0000,1.8944,"_",1.7965,"_",9.1341,9314.5100,"_","_",1373.0100,11.5960,4.4805,2.2011,44.7450,1.9655,42.5048,6.7975
"06 ENE 1999",1.1743,131.4200,1.6116,0.70760,"_",34.8500,7.4452,250.6700,0.8306,4.0065,13168.0000,9.3050,81.5400,8.7335,"_",27.4315,372188.0000,1.8820,"_",1.7711,"_",9.1010,9337.6800,"_","_",1359.5400,11.4705,4.4637,2.1890,44.8720,1.9699,42.6949,6.7307
"07 ENE 1999",1.1632,129.4300,1.6165,0.70585,"_",34.8860,7.4431,250.0900,0.8246,4.0165,13092.0000,9.1800,81.0600,8.6295,"_",26.9876,370147.0000,1.8474,"_",1.7602,"_",9.0131,9218.7700,"_","_",1337.1600,11.5511,4.4203,2.1531,44.4360,1.9436,42.1678,6.8283
"08 ENE 1999",1.1659,130.0900,1.6138,0.70940,"_",34.9380,7.4433,250.1500,0.8283,4.0363,13143.0000,9.1650,80.9900,8.5900,"_",27.2075,371830.0000,1.8406,"_",1.7643,"_",9.0302,9321.6300,"_","_",1366.7300,11.4414,4.4295,2.1557,44.2950,1.9537,42.5590,6.7855
"11 ENE 1999",1.1569,126.3300,1.6104,0.70440,"_",35.1730,7.4433,249.7000,0.8191,4.0320,12980.0000,9.0985,80.5500,8.5585,"_",27.0148,372471.0000,1.8134,"_",1.7463,"_",8.9655,9255.6100,"_","_",1356.7000,11.4322,4.3970,2.1257,43.5650,1.9358,41.9568,6.7910
"12 ENE 1999",1.1520,129.6300,1.6072,0.70660,"_",35.2500,7.4430,249.2000,0.8234,4.0330,12912.0000,9.0955,80.5900,8.6100,"_",26.6366,372105.0000,1.8090,"_",1.7392,"_",8.9246,9301.2000,"_","_",1353.4300,11.4897,4.3770,2.1210,43.6560,1.9343,41.9850,6.9581
"13 ENE 1999",1.1744,131.8900,1.5931,0.70840,"_",36.1130,7.4432,255.0100,0.8332,4.2033,13149.0000,9.1400,81.2400,8.7470,"_",26.4489,376350.0000,1.8620,"_",1.8123,"_",9.1008,10215.5900,"_","_",1377.9300,12.8946,4.4634,2.1744,45.5730,1.9815,43.4924,7.2543
"14 ENE 1999",1.1653,132.7400,1.5934,0.70620,"_",35.6980,7.4437,253.8400,0.8299,4.1335,13134.0000,9.1350,80.9300,8.7245,"_",26.5723,375101.0000,1.8353,"_",1.7707,"_",9.0288,10081.1600,"_","_",1382.2300,12.1499,4.4286,2.1570,44.8700,1.9615,43.1217,7.1316
"15 ENE 1999",1.1626,131.7400,1.5984,0.70390,"_",35.8600,7.4441,253.3400,0.8261,4.2000,13164.0000,9.1570,80.7000,8.7150,"_",26.5662,374193.0000,1.8388,"_",1.7797,"_",9.0102,10414.7000,"_","_",1375.7600,12.8495,4.4172,2.1582,44.9870,1.9570,43.4042,7.2197
"18 ENE 1999",1.1612,132.9000,1.6004,0.70130,"_",35.6150,7.4431,250.7800,0.8292,4.0667,13263.0000,9.0930,80.6200,8.6575,"_",27.2075,382036.0000,1.8292,"_",1.7717,"_",8.9944,9809.1900,"_","_",1371.2600,11.8813,4.4112,2.1671,44.4030,1.9549,42.3188,6.9596
"19 ENE 1999",1.1616,132.1400,1.6001,0.70000,"_",35.7450,7.4380,250.6400,0.8271,4.0973,13335.0000,9.0045,80.5200,8.6300,"_",26.7599,382052.0000,1.8295,"_",1.7739,"_",8.9944,9955.1600,"_","_",1364.4700,11.9167,4.4056,2.1614,44.5210,1.9521,42.3747,7.0161
"20 ENE 1999",1.1575,131.5900,1.6024,0.70140,"_",35.7730,7.4378,249.9900,0.8255,4.0847,13274.0000,8.9645,80.4900,8.6000,"_",26.8922,380440.0000,1.8064,"_",1.7626,"_",8.9605,9802.6200,"_","_",1349.2400,11.7196,4.3884,2.1499,44.3460,1.9398,42.1600,6.9450
"21 ENE 1999",1.1572,130.3400,1.6030,0.70230,"_",36.0600,7.4385,250.1700,0.8247,4.1277,13282.0000,8.9430,80.3200,8.6050,"_",26.6122,380335.0000,1.8171,"_",1.7529,"_",8.9647,10008.5000,"_","_",1356.8200,11.9229,4.3966,2.1489,44.1400,1.9368,42.1745,6.9797
"22 ENE 1999",1.1567,131.8800,1.5983,0.70050,"_",36.2870,7.4372,250.1600,0.8253,4.1587,13285.0000,9.0110,80.4400,8.6225,"_",27.0034,378192.0000,1.8225,"_",1.7515,"_",8.9738,10303.5500,"_","_",1365.8000,11.8665,4.3935,2.1519,44.6870,1.9461,42.6613,7.0300
"25 ENE 1999",1.1584,132.0900,1.5966,0.69890,"_",36.2110,7.4367,250.4700,0.8267,4.1607,13318.0000,8.9400,80.2700,8.6125,"_",26.8714,380138.0000,1.8317,"_",1.7620,"_",8.9765,10829.6500,"_","_",1366.1600,11.8547,4.4014,2.1659,44.8830,1.9557,42.6816,7.0241
"26 ENE 1999",1.1582,131.8100,1.6022,0.69760,"_",36.6150,7.4360,250.6900,0.8255,4.1837,13328.0000,8.9210,80.0400,8.6125,"_",26.6191,380468.0000,1.8391,"_",1.7609,"_",8.9808,10618.7000,"_","_",1360.4700,11.8397,4.3979,2.1669,44.5000,1.9512,42.4632,6.9955
"27 ENE 1999",1.1529,131.9100,1.6082,0.69680,"_",36.4640,7.4358,250.0800,0.8240,4.1588,13302.0000,8.8820,79.8800,8.5985,"_",26.5778,379757.0000,1.8313,"_",1.7526,"_",8.9350,10579.2400,"_","_",1354.5500,11.7160,4.3758,2.1594,44.5660,1.9446,42.3458,6.9666
"28 ENE 1999",1.1410,132.2500,1.6129,0.69280,"_",36.4320,7.4359,249.3400,0.8196,4.1381,13199.0000,8.8650,79.6800,8.5700,"_",26.1643,378453.0000,1.8262,"_",1.7374,"_",8.8428,10440.6300,"_","_",1341.0700,11.6284,4.3357,2.1365,44.0980,1.9290,42.1618,6.9145
"29 ENE 1999",1.1384,132.1000,1.6123,0.69100,"_",36.8270,7.4359,249.2400,0.8191,4.1610,13280.0000,8.8800,79.5900,8.5785,"_",26.3482,377866.0000,1.8087,"_",1.7260,"_",8.8192,10158.0000,"_","_",1337.3300,11.6205,4.3249,2.1107,43.8190,1.9233,42.0319,6.8804
"01 FEB 1999",1.1338,130.8800,1.6089,0.69040,"_",37.1420,7.4363,248.9700,0.8154,4.2360,13407.0000,8.8600,79.6600,8.5395,"_",26.2429,379647.0000,1.7882,"_",1.7123,"_",8.7839,10089.0700,"_","_",1331.5800,11.4716,4.3018,2.0861,43.6990,1.9169,41.6939,6.8425
"02 FEB 1999",1.1337,127.7000,1.6002,0.68880,"_",37.3950,7.4368,248.9900,0.8139,4.2296,13596.0000,8.8775,79.5000,8.5845,"_",26.4356,380186.0000,1.7741,"_",1.7079,"_",8.7849,9975.7100,"_","_",1326.4300,11.4046,4.3081,2.0760,43.7040,1.9114,41.6032,6.8135
"03 FEB 1999",1.1337,126.8600,1.5975,0.69250,"_",37.1680,7.4372,249.0000,0.8127,4.2014,13660.0000,8.9150,79.6000,8.6250,"_",26.5368,380242.0000,1.7609,"_",1.7151,"_",8.7874,9554.3900,"_","_",1327.1800,11.4058,4.3094,2.0566,43.6100,1.9132,41.5970,6.8135
"04 FEB 1999",1.1263,127.6500,1.6017,0.68940,"_",37.1580,7.4362,248.7700,0.8102,4.1512,13655.0000,8.8990,79.3200,8.6425,"_",26.1337,380233.0000,1.7541,"_",1.6951,"_",8.7296,9771.9800,"_","_",1318.5100,11.4007,4.2806,2.0461,43.4810,1.9009,41.3915,6.7922
"05 FEB 1999",1.1292,127.9500,1.6012,0.68850,"_",37.3650,7.4358,248.9100,0.8101,4.1753,13819.0000,8.8720,79.4400,8.6725,"_",26.2495,382365.0000,1.7294,"_",1.6765,"_",8.7520,9880.9500,"_","_",1321.3400,11.3942,4.2912,2.0431,43.5890,1.9070,41.5339,6.8119
"08 FEB 1999",1.1246,127.8200,1.6018,0.68880,"_",37.7100,7.4355,248.6400,0.8095,4.1958,13718.0000,8.8570,79.3500,8.6200,"_",25.9603,382257.0000,1.7230,"_",1.6725,"_",8.7144,10008.5000,"_","_",1322.1900,11.3243,4.2734,2.0149,44.3080,1.9002,41.5297,6.6959
"09 FEB 1999",1.1333,129.9100,1.5999,0.69110,"_",38.3580,7.4356,249.7500,0.8156,4.2560,13724.0000,8.9070,79.5800,8.6505,"_",26.0048,384410.0000,1.7548,"_",1.6944,"_",8.7841,9916.8300,"_","_",1332.2600,11.4574,4.3068,2.0411,44.8240,1.9182,42.0247,6.8990
"10 FEB 1999",1.1342,130.7300,1.5963,0.69540,"_",38.1350,7.4347,251.0500,0.8169,4.2448,13773.0000,8.9330,79.6500,8.6425,"_",25.9222,385237.0000,1.7569,"_",1.6945,"_",8.7883,9756.2800,"_","_",1335.8100,11.4446,4.3102,2.0549,44.2930,1.9202,42.0541,6.9361
"11 FEB 1999",1.1312,129.3500,1.5966,0.69750,"_",37.9400,7.4347,249.6400,0.8142,4.2520,13848.0000,8.9190,79.7000,8.6435,"_",26.0993,384852.0000,1.7427,"_",1.6850,"_",8.7701,9844.5000,"_","_",1329.9700,11.2921,4.3007,2.0481,43.6010,1.9104,41.7825,6.8575
"12 FEB 1999",1.1244,128.9200,1.5992,0.69170,"_",37.8600,7.4347,249.3200,0.8111,4.2302,13664.0000,8.9305,79.6100,8.6075,"_",26.0043,386971.0000,1.7459,"_",1.6752,"_",8.7163,9841.5800,"_","_",1322.2000,11.2588,4.2740,2.0550,43.3030,1.9037,41.5315,6.8560
"15 FEB 1999",1.1238,129.3100,1.5950,0.68950,"_",38.1970,7.4348,249.6600,0.8104,4.2612,13663.0000,8.8815,79.5100,8.5930,"_",26.0406,386261.0000,1.7353,"_",1.6781,"_",8.7086,9663.4000,"_","_",1320.9100,11.1818,4.2643,2.0531,43.4290,1.8973,41.2717,6.8819
"16 FEB 1999",1.1176,131.8200,1.5975,0.68540,"_",38.2300,7.4347,249.5600,0.8108,4.2747,13694.0000,8.8530,79.6800,8.6205,"_",25.8545,385622.0000,1.7467,"_",1.6807,"_",8.6603,9778.5700,"_","_",1313.1300,11.1095,4.2411,2.0854,43.0260,1.8976,41.2432,6.9198
"17 FEB 1999",1.1253,133.4800,1.5973,0.68730,"_",37.9700,7.4351,251.0900,0.8157,4.2790,13794.0000,8.9070,79.9200,8.6955,"_",26.0794,388150.0000,1.7751,"_",1.6880,"_",8.7223,9852.9500,"_","_",1323.1100,11.1817,4.2734,2.0920,43.5780,1.9117,41.6076,6.8981
"18 FEB 1999",1.1232,134.4000,1.5982,0.68710,"_",37.9930,7.4348,252.0600,0.8161,4.2840,13857.0000,8.9275,79.9300,8.7385,"_",25.9279,388138.0000,1.7687,"_",1.6760,"_",8.7020,9911.3800,"_","_",1327.4500,11.1136,4.2680,2.0842,43.4660,1.9099,41.6109,6.9526
"19 FEB 1999",1.1163,133.9700,1.5982,0.68380,"_",37.7730,7.4346,251.8800,0.8129,4.2589,13826.0000,8.9110,79.7500,8.7075,"_",25.8225,388772.0000,1.7502,"_",1.6616,"_",8.6551,9854.4500,"_","_",1345.4300,11.0807,4.2390,2.0562,43.4510,1.9067,41.8521,6.9573
"22 FEB 1999",1.0992,133.6100,1.5986,0.67890,"_",37.8730,7.4345,250.1200,0.8075,4.2608,13680.0000,8.9075,79.5700,8.6885,"_",25.2379,386147.0000,1.7237,"_",1.6351,"_",8.5185,9785.1200,"_","_",1337.4800,10.9243,4.1779,2.0397,43.1260,1.8845,41.4548,6.8510
"23 FEB 1999",1.0969,133.1400,1.5954,0.67960,"_",37.8470,7.4344,249.9000,0.8050,4.2408,13798.0000,8.9085,79.3600,8.6745,"_",25.1113,385700.0000,1.7145,"_",1.6423,"_",8.4820,9687.6700,"_","_",1326.1700,10.8699,4.1596,2.0390,42.6920,1.8853,41.1041,6.8315
"24 FEB 1999",1.1037,133.8600,1.5940,0.68830,"_",37.9920,7.4345,252.2300,0.8103,4.2813,14068.0000,8.9115,79.5400,8.6540,"_",25.4070,388056.0000,1.7465,"_",1.6582,"_",8.5495,9710.3800,"_","_",1343.4500,10.9628,4.1930,2.0768,43.0900,1.9046,41.4346,6.7871
"25 FEB 1999",1.1031,132.8700,1.5905,0.68880,"_",37.9940,7.4346,252.5600,0.8085,4.3051,14169.0000,8.9740,79.4900,8.6965,"_",25.4081,388487.0000,1.7566,"_",1.6543,"_",8.5466,9752.1900,"_","_",1350.6900,10.9854,4.1933,2.0902,43.0180,1.9063,41.4089,6.8254
"26 FEB 1999",1.1018,131.3300,1.5890,0.68730,"_",37.9080,7.4344,253.9100,0.8068,4.3482,14075.0000,9.0025,79.5500,8.6965,"_",25.4829,388147.0000,1.7819,"_",1.6684,"_",8.5382,9726.9300,"_","_",1348.5500,10.9870,4.1876,2.1071,42.9230,1.8965,41.1286,6.8064
"01 MAR 1999",1.0986,131.1300,1.5930,0.68290,"_",37.5700,7.4347,254.5300,0.8044,4.3074,14079.0000,9.0005,79.1600,8.6475,"_",25.3933,390183.0000,1.7766,"_",1.6579,"_",8.5139,9738.1300,"_","_",1340.1700,10.8577,4.1760,2.0936,42.8050,1.8943,40.9578,6.7716
"02 MAR 1999",1.0887,131.3700,1.5912,0.67640,"_",37.5830,7.4345,252.1400,0.7910,4.3210,14117.0000,8.9850,78.9300,8.6520,"_",25.2723,388646.0000,1.7492,"_",1.6605,"_",8.4354,9652.6600,"_","_",1333.0100,10.8276,4.1373,2.0600,42.4610,1.8879,40.8663,6.7916
"03 MAR 1999",1.0899,132.1800,1.5926,0.67230,"_",37.5510,7.4345,254.0200,0.8014,4.3370,14316.0000,8.9900,78.8700,8.6475,"_",25.3694,389288.0000,1.7454,"_",1.6615,"_",8.4416,9660.6400,"_","_",1339.2600,10.8673,4.1399,2.0567,42.5430,1.8907,41.0073,6.7883
"04 MAR 1999",1.0866,133.9200,1.5883,0.67590,"_",37.5180,7.4344,254.6200,0.8027,4.3093,14559.0000,8.9600,78.9600,8.6155,"_",25.4276,388976.0000,1.7494,"_",1.6609,"_",8.4176,9664.9700,"_","_",1346.0400,10.8028,4.1285,2.0670,42.5890,1.8855,40.9675,6.7798
"05 MAR 1999",1.0834,133.1900,1.5912,0.67370,"_",37.2830,7.4324,253.1600,0.8006,4.2490,14506.0000,8.9355,78.7700,8.5800,"_",25.3326,389948.0000,1.7329,"_",1.6489,"_",8.3959,9490.6000,"_","_",1345.3100,10.7045,4.1169,2.0498,42.3610,1.8727,40.6113,6.7342
"08 MAR 1999",1.0908,132.7700,1.5933,0.67760,"_",37.6030,7.4322,250.5100,0.8028,4.2568,14160.0000,8.9480,78.8000,8.5785,"_",25.5166,391539.0000,1.7348,"_",1.6527,"_",8.4490,9759.5400,"_","_",1349.4600,10.7499,4.1388,2.0413,42.3680,1.8821,40.5048,6.7119
"09 MAR 1999",1.0863,132.4500,1.5931,0.67540,"_",37.9670,7.4329,250.3400,0.8007,4.2702,14573.0000,8.9380,78.6900,8.5605,"_",25.3974,391883.0000,1.7125,"_",1.6447,"_",8.4209,9753.6100,"_","_",1342.5200,10.5926,4.1297,2.0354,42.4380,1.8817,40.6716,6.6780
"10 MAR 1999",1.0953,131.7400,1.6014,0.67460,"_",37.9400,7.4330,252.8300,0.8031,4.3142,14830.0000,8.8925,78.7600,8.5435,"_",25.5585,393857.0000,1.7237,"_",1.6607,"_",8.4851,9937.5900,"_","_",1350.1500,10.6844,4.1557,2.0461,42.7070,1.8950,41.0097,6.7498
"11 MAR 1999",1.0891,131.0000,1.5972,0.66940,"_",37.8330,7.4327,252.8700,0.7997,4.3050,14951.0000,8.8310,78.3500,8.5010,"_",25.4784,393263.0000,1.7144,"_",1.6586,"_",8.4418,10308.4600,"_","_",1339.9700,10.6380,4.1397,2.0368,42.4870,1.8912,40.9615,6.7279
"12 MAR 1999",1.0932,130.8000,1.5975,0.66860,"_",37.9900,7.4327,253.3400,0.8003,4.2995,14818.0000,8.8615,78.5900,8.5285,"_",25.6914,395735.0000,1.7247,"_",1.6658,"_",8.4693,10057.9200,"_","_",1348.5300,10.6453,4.1539,2.0522,42.6310,1.8949,40.8548,6.7314
"15 MAR 1999",1.0949,128.8500,1.6010,0.67390,"_",37.8500,7.4325,253.4600,0.7999,4.3103,15212.0000,8.8785,78.6500,8.5275,"_",25.7884,396700.0000,1.7325,"_",1.6712,"_",8.4867,9579.9500,"_","_",1347.4600,10.6115,4.1612,2.0483,42.5430,1.8767,40.8325,6.8106
"16 MAR 1999",1.0901,128.6500,1.5995,0.67030,"_",38.0500,7.4322,253.6600,0.7989,4.3107,15931.0000,8.9690,78.4500,8.5515,"_",25.5558,396161.0000,1.7365,"_",1.6658,"_",8.4414,9584.1000,"_","_",1335.9700,10.5331,4.1392,2.0613,42.3170,1.8773,40.5145,6.8185
"17 MAR 1999",1.0966,130.1800,1.5987,0.67440,"_",37.9600,7.4317,253.8100,0.8020,4.3070,17825.0000,8.9780,78.7700,8.5400,"_",25.8767,398135.0000,1.7502,"_",1.6685,"_",8.4973,9870.3300,"_","_",1345.4100,10.6106,4.1667,2.0842,42.6540,1.8918,40.9544,6.8592
"18 MAR 1999",1.1012,129.7800,1.5975,0.67600,"_",37.9900,7.4321,254.6000,0.8036,4.3100,17891.0000,8.9380,78.8200,8.4790,"_",26.4686,399131.0000,1.7458,"_",1.6728,"_",8.5329,9936.5400,"_","_",1348.7300,10.6494,4.1838,2.0721,42.8290,1.8981,41.2380,6.8702
"19 MAR 1999",1.0915,127.9900,1.5986,0.67080,"_",37.9470,7.4315,253.6400,0.7969,4.2627,16209.0000,8.9370,78.4800,8.4515,"_",26.3591,399184.0000,1.7316,"_",1.6543,"_",8.4590,9688.8500,"_","_",1326.4200,10.5352,4.1485,2.0521,42.3580,1.8818,40.8114,6.7910
"22 MAR 1999",1.0864,128.0000,1.5966,0.66770,"_",38.1420,7.4317,253.2500,0.7951,4.2805,16187.0000,8.9325,78.3100,8.4445,"_",26.4442,398510.0000,1.7174,"_",1.6426,"_",8.4195,9658.5600,"_","_",1328.4600,10.5603,4.1284,2.0381,42.0790,1.8765,40.7799,6.7055
"23 MAR 1999",1.0896,128.9400,1.5945,0.67060,"_",38.3030,7.4315,254.1200,0.7976,4.2888,16242.0000,8.9320,78.5200,8.4435,"_",26.8005,399861.0000,1.7044,"_",1.6415,"_",8.4419,9696.1200,"_","_",1334.8500,10.5426,4.1400,2.0221,42.2170,1.8883,40.8217,6.7520
"24 MAR 1999",1.0928,128.6000,1.5908,0.66530,"_",38.5830,7.4314,256.1100,0.7977,4.3521,15846.0000,8.9695,78.6100,8.4480,"_",28.7202,400908.0000,1.7094,"_",1.6470,"_",8.4693,9671.7400,"_","_",1336.7800,10.5962,4.1525,2.0301,42.2900,1.8850,41.0584,6.7918
"25 MAR 1999",1.0898,128.6500,1.5944,0.66680,"_",38.4570,7.4315,255.2500,0.7968,4.3165,15873.0000,9.0070,78.4800,8.4635,"_",29.9573,400718.0000,1.7102,"_",1.6471,"_",8.4371,9640.7600,"_","_",1332.3900,10.5287,4.1396,2.0329,42.1580,1.8808,40.9759,6.7808
"26 MAR 1999",1.0815,128.9300,1.5965,0.66500,"_",38.3550,7.4318,253.9000,0.7943,4.2763,15952.0000,8.9500,78.2200,8.3760,"_",28.7724,399139.0000,1.6998,"_",1.6281,"_",8.3737,9590.7800,"_","_",1321.2600,10.4175,4.1065,2.0138,41.8750,1.8714,40.6325,6.7080
"29 MAR 1999",1.0692,128.7800,1.5943,0.66150,"_",38.5400,7.4316,253.9600,0.7881,4.2757,16038.0000,8.9550,77.8900,8.3635,"_",26.9426,399809.0000,1.6904,"_",1.6185,"_",8.2848,9435.2700,"_","_",1309.8200,10.2532,4.0574,2.0073,41.4830,1.8537,40.2375,6.6798
"30 MAR 1999",1.0711,128.8600,1.5956,0.66380,"_",38.4400,7.4317,254.8900,0.7904,4.2580,16420.0000,8.9525,77.9800,8.3585,"_",26.6183,400396.0000,1.7003,"_",1.6223,"_",8.3049,9351.4700,"_","_",1312.5200,10.2245,4.0673,2.0107,41.5840,1.8577,40.3801,6.6655
"31 MAR 1999",1.0742,127.8100,1.5981,0.66630,"_",38.3930,7.4317,254.8200,0.7910,4.2947,16059.0000,8.8870,78.1000,8.3475,"_",26.8834,400814.0000,1.7060,"_",1.6211,"_",8.3226,9344.2500,"_","_",1317.8600,10.2562,4.0814,2.0243,41.6470,1.8544,40.3843,6.6493
"01 ABR 1999",1.0772,128.7200,1.5957,0.66900,"_",38.4820,7.4316,254.4100,0.7932,4.3380,15953.0000,8.8890,78.3100,8.3425,"_",28.1222,403086.0000,1.6928,"_",1.6205,"_",8.3687,9312.8600,"_","_",1321.6200,10.2802,4.1035,2.0108,41.8390,1.8671,40.6688,6.6501
"02 ABR 1999",1.0772,129.8500,1.5973,0.67200,"_",38.4420,7.4317,253.9700,0.7947,4.3500,15937.0000,8.8811,78.3300,8.3460,"_",28.8139,403010.0000,1.6992,"_",1.6162,"_",8.3492,9292.1700,"_","_",1319.6500,10.2650,4.0940,2.0204,41.7480,1.8655,40.5946,6.6412
"05 ABR 1999",1.0752,130.5500,1.5968,0.67020,"_",38.4870,7.4308,253.3000,0.7964,4.3293,15988.0000,8.8846,78.2800,8.3505,"_",27.9835,403671.0000,1.6956,"_",1.6096,"_",8.3338,9300.9300,"_","_",1318.8000,10.1988,4.0861,2.0148,41.4510,1.8640,40.5370,6.6340
