"CÓDIGO DE LA SERIE",DTCCBCEUSDEUR.B,DTCCBCEJPYEUR.B,DTCCBCECHFEUR.B,DTCCBCEGBPEUR.B,DTCCBCEBGNEUR.B,DTCCBCECZKEUR.B,DTCCBCEDKKEUR.B,DTCCBCEHUFEUR.B,DTCCFMIXDREUR.B,DTCCBCEPLNEUR.B,DTCCBCERONEUR.B,DTCCBCESEKEUR.B,DTCCBCEISKEUR.B,DTCCBCENOKEUR.B,DTCCBCEHRKEUR.B,DTCCBCERUBEUR.B,DTCCBCETRYEUR.B,DTCCBCEAUDEUR.B,DTCCBCEBRLEUR.B,DTCCBCECADEUR.B,DTCCBCECNYEUR.B,DTCCBCEHKDEUR.B,DTCCBCEIDREUR.B,DTCCBCEILSEUR.B,DTCCBCEINREUR.B,DTCCBCEKRWEUR.B,DTCCBCEMXNEUR.B,DTCCBCEMYREUR.B,DTCCBCENZDEUR.B,DTCCBCEPHPEUR.B,DTCCBCESGDEUR.B,DTCCBCETHBEUR.B,DTCCBCEZAREUR.B
"19 OCT 2023",1.0558,158.2100,0.9470,0.87098,1.9558,24.6740,7.4625,383.9900,0.8057,4.4500,4.9746,11.6155,146.3000,11.6973,7.5345,"_",29.5605,1.6718,5.3520,1.4485,7.7233,8.2624,16740.1300,4.2569,87.8700,1434.8000,19.3681,5.0319,1.8119,60.0430,1.4499,38.5050,20.1992
"20 OCT 2023",1.0591,158.8000,0.9442,0.87213,1.9558,24.7040,7.4620,383.0500,0.8073,4.4653,4.9755,11.6340,146.9000,11.6808,7.5345,"_",29.6759,1.6772,5.3550,1.4492,7.7489,8.2851,16795.1100,4.2962,87.9830,1431.6000,19.4378,5.0493,1.8166,60.1670,1.4526,38.6780,20.1857
"23 OCT 2023",1.0597,158.9100,0.9461,0.87153,1.9558,24.6450,7.4634,381.9800,0.8074,4.4590,4.9701,11.7071,146.9000,11.7985,7.5345,"_",29.7246,1.6805,5.3524,1.4542,7.7529,8.2930,16890.5600,4.3040,88.1010,1432.8000,19.4413,5.0812,1.8220,60.2330,1.4541,38.6580,20.1995
"24 OCT 2023",1.0632,159.2600,0.9501,0.87025,1.9558,24.6590,7.4648,383.2000,0.8089,4.4630,4.9656,11.7456,147.3000,11.8255,7.5345,"_",29.8754,1.6708,5.3373,1.4564,7.7720,8.3169,16857.8900,4.3177,88.3058,1428.7500,19.3024,5.0874,1.8173,60.3900,1.4532,38.4880,20.3166
"25 OCT 2023",1.0576,158.5500,0.9474,0.87240,1.9558,24.6930,7.4639,385.3000,0.8065,4.4825,4.9626,11.7715,147.3000,11.8380,7.5345,"_",29.7334,1.6678,5.2863,1.4549,7.7381,8.2728,16792.9400,4.2987,87.9665,1427.1700,19.3238,5.0553,1.8166,60.1350,1.4484,38.2750,20.2421
"26 OCT 2023",1.0540,158.4800,0.9466,0.87170,1.9558,24.7140,7.4632,383.5000,0.8049,4.4673,4.9641,11.8005,147.5000,11.8550,7.5345,"_",29.6796,1.6719,5.2694,1.4565,7.7142,8.2432,16779.6800,4.3006,87.7355,1430.6700,19.3840,5.0447,1.8180,60.0890,1.4454,38.2500,20.1131
"27 OCT 2023",1.0541,158.0800,0.9502,0.87023,1.9558,24.6580,7.4639,382.9300,0.8048,4.4715,4.9657,11.8235,147.5000,11.8285,7.5345,"_",29.7198,1.6616,5.2451,1.4572,7.7143,8.2426,16802.3500,4.2903,87.7510,1430.3800,19.0642,5.0370,1.8102,60.0630,1.4455,38.1690,19.9358
"30 OCT 2023",1.0605,158.8000,0.9564,0.87345,1.9558,24.5570,7.4639,382.4300,0.8079,4.4565,4.9641,11.8060,147.1000,11.7905,7.5345,"_",29.9480,1.6637,5.2952,1.4670,7.7595,8.2939,16851.3500,4.2963,88.3050,1430.3700,19.1209,5.0506,1.8175,60.3320,1.4483,38.0720,19.8931
"31 OCT 2023",1.0619,160.3000,0.9607,0.87366,1.9558,24.5580,7.4647,382.1300,0.8092,4.4405,4.9659,11.8275,147.5000,11.8735,7.5345,"_",30.0455,1.6739,5.3743,1.4712,7.7686,8.3079,16868.2800,4.2756,88.4195,1434.6600,19.1551,5.0594,1.8224,60.2950,1.4525,38.2660,19.9507
"01 NOV 2023",1.0537,159.3300,0.9572,0.86945,1.9558,24.6770,7.4644,383.7500,0.8051,4.4658,4.9679,11.8060,148.1000,11.7960,7.5345,"_",29.8523,1.6561,5.2963,1.4610,7.7120,8.2436,16803.0400,4.2437,87.7525,1429.1600,18.9457,5.0272,1.8068,59.8610,1.4443,38.1440,19.6349
"02 NOV 2023",1.0661,159.8900,0.9622,0.87305,1.9558,24.6340,7.4635,382.0000,0.8106,4.4495,4.9685,11.8190,147.9000,11.8743,7.5345,"_",30.2241,1.6543,5.2818,1.4707,7.8009,8.3424,16855.0400,4.2183,88.7040,1417.1300,18.7524,5.0656,1.8041,60.2400,1.4522,38.2520,19.5695
"03 NOV 2023",1.0702,159.8700,0.9625,0.86983,1.9558,24.4140,7.4625,380.3800,0.8120,4.4500,4.9693,11.7400,149.1000,11.8535,7.5345,"_",30.4016,1.6478,5.2423,1.4653,7.8193,8.3745,16763.8800,4.2491,89.0545,1402.4200,18.5803,5.0615,1.7917,60.0170,1.4516,38.0560,19.6279
"06 NOV 2023",1.0741,160.8700,0.9646,0.86640,1.9558,24.4430,7.4587,379.9800,0.8133,4.4670,4.9692,11.6575,150.5000,11.8235,7.5345,"_",30.5458,1.6524,5.2595,1.4664,7.8094,8.4020,16684.9600,4.1723,89.3960,1394.3400,18.7638,4.9801,1.7987,60.0490,1.4501,38.2000,19.6149
"07 NOV 2023",1.0686,160.7700,0.9626,0.86855,1.9558,24.6220,7.4577,378.5000,0.8112,4.4618,4.9685,11.6695,150.5000,11.9220,7.5345,"_",30.4546,1.6636,5.1967,1.4679,7.7839,8.3558,16736.5200,4.1300,88.9765,1398.0700,18.7248,4.9920,1.8046,59.9110,1.4483,38.0580,19.6516
"08 NOV 2023",1.0671,160.9700,0.9599,0.87015,1.9558,24.6660,7.4580,379.3800,0.8107,4.4655,4.9665,11.6555,150.5000,11.9305,7.5345,"_",30.4255,1.6592,5.2132,1.4711,7.7699,8.3408,16729.4100,4.1091,88.8760,1402.0300,18.6974,4.9978,1.8006,59.7420,1.4481,37.9170,19.7290
"09 NOV 2023",1.0691,161.5700,0.9637,0.87205,1.9558,24.5550,7.4584,378.5000,0.8120,4.4490,4.9686,11.6340,150.9000,11.9335,7.5345,"_",30.4699,1.6699,5.2378,1.4736,7.7886,8.3505,16721.4200,4.1101,89.0530,1401.9000,18.7570,5.0168,1.8035,59.7150,1.4523,38.0890,19.8926
"10 NOV 2023",1.0683,161.7700,0.9636,0.87435,1.9558,24.5250,7.4577,377.4300,0.8120,4.4243,4.9698,11.6290,151.9000,11.8725,7.5345,"_",30.5149,1.6795,5.2579,1.4753,7.7874,8.3433,16764.6700,4.1458,88.9803,1408.8200,19.0402,5.0296,1.8119,59.6800,1.4525,38.3950,20.0296
"13 NOV 2023",1.0670,161.9600,0.9656,0.87155,1.9558,24.5810,7.4598,377.2000,0.8113,4.4280,4.9710,11.6100,153.3000,11.8770,7.5345,"_",30.5041,1.6742,5.2599,1.4754,7.7794,8.3309,16751.9000,4.1267,88.8440,1413.7200,18.8820,5.0234,1.8142,59.8420,1.4520,38.4070,20.0025
"14 NOV 2023",1.0724,162.6700,0.9668,0.87230,1.9558,24.5510,7.4597,377.6100,0.8138,4.4211,4.9719,11.6537,153.7000,11.9450,7.5345,"_",30.7098,1.6819,5.2449,1.4832,7.8171,8.3754,16841.3500,4.1117,89.1958,1421.7300,18.8358,5.0596,1.8270,60.0650,1.4592,38.6650,20.0694
"15 NOV 2023",1.0868,163.3900,0.9640,0.87188,1.9558,24.5060,7.4588,377.3000,0.8193,4.3970,4.9704,11.4510,153.9000,11.7460,7.5345,"_",31.1558,1.6648,5.2829,1.4854,7.8702,8.4852,16825.8400,4.0943,90.2937,1410.5000,18.8419,5.0781,1.7985,60.5460,1.4645,38.5600,19.7127
"16 NOV 2023",1.0849,164.0500,0.9651,0.87520,1.9558,24.4460,7.4592,376.3000,0.8191,4.3730,4.9705,11.4898,153.3000,11.7675,7.5345,"_",31.1057,1.6736,5.2703,1.4891,7.8655,8.4640,16901.6600,4.0970,90.3145,1403.3700,18.7435,5.0866,1.8141,60.4400,1.4634,38.4920,19.8718
"17 NOV 2023",1.0872,162.2900,0.9643,0.87395,1.9558,24.4610,7.4582,377.7500,0.8189,4.3770,4.9723,11.4810,153.3000,11.8110,7.5345,"_",31.1970,1.6709,5.2947,1.4908,7.8414,8.4785,16717.2800,4.0487,90.5065,1405.0000,18.7042,5.0881,1.8161,60.4160,1.4610,38.0680,19.9254
"20 NOV 2023",1.0928,162.1200,0.9665,0.87630,1.9558,24.5410,7.4565,378.9000,0.8209,4.3690,4.9721,11.4270,152.5000,11.7200,7.5345,"_",31.4332,1.6669,5.3364,1.4994,7.8378,8.5165,16881.5700,4.0811,91.1060,1412.5600,18.7590,5.1006,1.8132,60.4970,1.4641,38.4940,20.1445
"21 NOV 2023",1.0955,161.6100,0.9673,0.87326,1.9558,24.5090,7.4556,379.1800,0.8210,4.3625,4.9707,11.4040,152.5000,11.6700,7.5345,"_",31.5552,1.6653,5.3454,1.5029,7.8178,8.5409,16979.3200,4.0655,91.2425,1413.9200,18.7681,5.0974,1.8026,60.7240,1.4638,38.5450,20.1403
"22 NOV 2023",1.0911,162.2500,0.9640,0.87030,1.9558,24.4800,7.4547,380.6000,0.8195,4.3625,4.9708,11.3900,153.9000,11.7020,7.5345,"_",31.4546,1.6618,5.3402,1.4959,7.8015,8.5061,17023.4500,4.0638,90.9030,1418.1000,18.7421,5.1042,1.8065,60.6980,1.4622,38.3790,20.3008
"23 NOV 2023",1.0900,162.9800,0.9644,0.86940,1.9558,24.3670,7.4559,379.6800,0.8191,4.3655,4.9699,11.4385,152.9000,11.7110,7.5345,"_",31.3536,1.6633,5.3367,1.4940,7.7852,8.5000,16949.5000,4.0784,90.8150,1418.8500,18.7094,5.1001,1.8052,60.3640,1.4618,38.4440,20.5225
"24 NOV 2023",1.0916,163.3000,0.9640,0.86818,1.9558,24.4060,7.4559,379.8800,0.8199,4.3638,4.9698,11.4390,150.3000,11.7345,7.5345,"_",31.5270,1.6621,5.3325,1.4935,7.8090,8.5086,16995.9900,4.0807,91.0390,1425.6100,18.6962,5.1136,1.7992,60.5070,1.4640,38.6920,20.6312
"27 NOV 2023",1.0951,162.8600,0.9640,0.86671,1.9558,24.3640,7.4554,379.9800,0.8211,4.3590,4.9709,11.4210,150.5000,11.6840,7.5345,"_",31.6571,1.6575,5.3522,1.4929,7.8331,8.5310,16954.3400,4.0818,91.2743,1422.6100,18.6759,5.1262,1.7955,60.7930,1.4641,38.3890,20.4087
"28 NOV 2023",1.0949,162.7400,0.9645,0.86820,1.9558,24.3650,7.4560,379.8500,0.8212,4.3473,4.9726,11.4330,150.9000,11.7165,7.5345,"_",31.6793,1.6567,5.3593,1.4887,7.8323,8.5368,16955.5700,4.0546,91.2550,1419.8900,18.8095,5.1148,1.7980,60.6960,1.4630,38.2340,20.4833
"29 NOV 2023",1.0985,162.1200,0.9628,0.86525,1.9558,24.2600,7.4565,377.3800,0.8218,4.3355,4.9726,11.3655,150.5000,11.6965,7.5345,"_",31.7630,1.6586,5.3785,1.4920,7.8296,8.5711,16960.4000,4.0365,91.5280,1418.0700,18.8765,5.1105,1.7843,60.8350,1.4629,38.2280,20.3397
"30 NOV 2023",1.0931,161.1900,0.9562,0.86368,1.9558,24.2920,7.4548,380.7500,0.8193,4.3490,4.9718,11.4308,150.7000,11.7200,7.5345,"_",31.5441,1.6542,5.3984,1.4870,7.8008,8.5384,16981.1400,4.0597,91.1143,1418.7800,19.0235,5.0933,1.7762,60.6230,1.4602,38.4940,20.5703
"01 DIC 2023",1.0875,161.1400,0.9530,0.86045,1.9558,24.3310,7.4543,379.7000,0.8169,4.3430,4.9713,11.3715,150.9000,11.6980,7.5345,"_",31.4452,1.6448,5.3538,1.4736,7.7685,8.4970,16840.1600,4.0530,90.6125,1420.7300,18.8153,5.0824,1.7638,60.2520,1.4551,38.2150,20.3329
"04 DIC 2023",1.0868,159.4700,0.9476,0.85790,1.9558,24.3940,7.4564,379.2800,0.8157,4.3393,4.9677,11.3210,151.1000,11.6780,7.5345,"_",31.3983,1.6351,5.3175,1.4716,7.7580,8.4929,16819.7500,4.0403,90.6200,1417.9000,18.7638,5.0618,1.7555,60.1270,1.4515,38.0350,20.3627
"05 DIC 2023",1.0817,159.1300,0.9456,0.85723,1.9558,24.3690,7.4559,379.3000,0.8136,4.3225,4.9671,11.3095,150.7000,11.7865,7.5345,"_",31.2925,1.6492,5.3636,1.4700,7.7269,8.4562,16740.0600,4.0310,90.1885,1422.1800,18.9133,5.0483,1.7637,59.8320,1.4487,38.1330,20.4715
